21_03_2021_12_15_45 : Training L0 model - epochs 5 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 0 - use_adam True 
Epoch: 1/5 - 21/03/2021 12:16:24 - Training Loss: 0.6263 - Training Accuracy: 0.6727 - Test Loss: 0.4531 - Test Accuracy: 0.7885

Epoch: 2/5 - 21/03/2021 12:16:32 - Training Loss: 0.3007 - Training Accuracy: 0.8846 - Test Loss: 0.5790 - Test Accuracy: 0.8099

Epoch: 3/5 - 21/03/2021 12:16:41 - Training Loss: 0.2146 - Training Accuracy: 0.9187 - Test Loss: 0.7785 - Test Accuracy: 0.7964

Epoch: 4/5 - 21/03/2021 12:16:49 - Training Loss: 0.1847 - Training Accuracy: 0.9325 - Test Loss: 0.9860 - Test Accuracy: 0.7792

Epoch: 5/5 - 21/03/2021 12:16:57 - Training Loss: 0.1790 - Training Accuracy: 0.9321 - Test Loss: 0.8609 - Test Accuracy: 0.8010

21_03_2021_12_16_57 : Training L0 model - epochs 10 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 0 - use_adam True 
Epoch: 1/10 - 21/03/2021 12:17:05 - Training Loss: 0.6704 - Training Accuracy: 0.6336 - Test Loss: 0.6007 - Test Accuracy: 0.8250

Epoch: 2/10 - 21/03/2021 12:17:13 - Training Loss: 0.3721 - Training Accuracy: 0.8809 - Test Loss: 0.6952 - Test Accuracy: 0.7828

Epoch: 3/10 - 21/03/2021 12:17:22 - Training Loss: 0.2100 - Training Accuracy: 0.9233 - Test Loss: 0.6853 - Test Accuracy: 0.7927

Epoch: 4/10 - 21/03/2021 12:17:30 - Training Loss: 0.1832 - Training Accuracy: 0.9373 - Test Loss: 0.6313 - Test Accuracy: 0.8172

Epoch: 5/10 - 21/03/2021 12:17:38 - Training Loss: 0.1708 - Training Accuracy: 0.9360 - Test Loss: 0.9483 - Test Accuracy: 0.7896

Epoch: 6/10 - 21/03/2021 12:17:47 - Training Loss: 0.1584 - Training Accuracy: 0.9421 - Test Loss: 0.8858 - Test Accuracy: 0.7724

Epoch: 7/10 - 21/03/2021 12:17:55 - Training Loss: 0.1538 - Training Accuracy: 0.9413 - Test Loss: 0.7810 - Test Accuracy: 0.8047

Epoch: 8/10 - 21/03/2021 12:18:04 - Training Loss: 0.1490 - Training Accuracy: 0.9456 - Test Loss: 0.8772 - Test Accuracy: 0.7995

Epoch: 9/10 - 21/03/2021 12:18:12 - Training Loss: 0.1555 - Training Accuracy: 0.9471 - Test Loss: 0.8599 - Test Accuracy: 0.7995

Epoch: 10/10 - 21/03/2021 12:18:21 - Training Loss: 0.1506 - Training Accuracy: 0.9436 - Test Loss: 0.8478 - Test Accuracy: 0.7995

21_03_2021_12_18_21 : Training L0 model - epochs 10 - lr 1e-05 - scheduler_gamma 0.1 - weight_decay - 0 - use_adam True 
Epoch: 1/10 - 21/03/2021 12:18:29 - Training Loss: 0.6907 - Training Accuracy: 0.5631 - Test Loss: 0.6971 - Test Accuracy: 0.6208

Epoch: 2/10 - 21/03/2021 12:18:38 - Training Loss: 0.6784 - Training Accuracy: 0.7546 - Test Loss: 0.6888 - Test Accuracy: 0.6323

