21_03_2021_16_29_03 : Training L0 model - epochs 5 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/5 - 21/03/2021 16:29:09 - Training Loss: 0.6725 - Training Accuracy: 0.3542 - Test Loss: 0.6415 - Test Accuracy: 0.3609
Epoch: 2/5 - 21/03/2021 16:29:16 - Training Loss: 0.6537 - Training Accuracy: 0.4153 - Test Loss: 0.6125 - Test Accuracy: 0.8404
Epoch: 3/5 - 21/03/2021 16:29:22 - Training Loss: 0.6302 - Training Accuracy: 0.5076 - Test Loss: 0.5311 - Test Accuracy: 0.7604
Epoch: 4/5 - 21/03/2021 16:29:28 - Training Loss: 0.6244 - Training Accuracy: 0.5617 - Test Loss: 0.4988 - Test Accuracy: 0.5990
Epoch: 5/5 - 21/03/2021 16:29:34 - Training Loss: 0.6047 - Training Accuracy: 0.5758 - Test Loss: 0.4708 - Test Accuracy: 0.7898

21_03_2021_16_29_34 : Training L0 model - epochs 10 - lr 0.0001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/10 - 21/03/2021 16:29:41 - Training Loss: 0.6740 - Training Accuracy: 0.3531 - Test Loss: 0.6523 - Test Accuracy: 0.3635
Epoch: 2/10 - 21/03/2021 16:29:47 - Training Loss: 0.6710 - Training Accuracy: 0.3550 - Test Loss: 0.6145 - Test Accuracy: 0.3694
Epoch: 3/10 - 21/03/2021 16:29:53 - Training Loss: 0.6520 - Training Accuracy: 0.4612 - Test Loss: 0.5652 - Test Accuracy: 0.7526
Epoch: 4/10 - 21/03/2021 16:29:59 - Training Loss: 0.6153 - Training Accuracy: 0.5502 - Test Loss: 0.5017 - Test Accuracy: 0.8047
Epoch: 5/10 - 21/03/2021 16:30:06 - Training Loss: 0.6123 - Training Accuracy: 0.5861 - Test Loss: 0.4715 - Test Accuracy: 0.6953
Epoch: 6/10 - 21/03/2021 16:30:12 - Training Loss: 0.5926 - Training Accuracy: 0.5774 - Test Loss: 0.4693 - Test Accuracy: 0.7563
Epoch: 7/10 - 21/03/2021 16:30:18 - Training Loss: 0.5959 - Training Accuracy: 0.5927 - Test Loss: 0.4661 - Test Accuracy: 0.7734
Epoch: 8/10 - 21/03/2021 16:30:25 - Training Loss: 0.5887 - Training Accuracy: 0.6114 - Test Loss: 0.4626 - Test Accuracy: 0.7850
Epoch: 9/10 - 21/03/2021 16:30:31 - Training Loss: 0.5874 - Training Accuracy: 0.6277 - Test Loss: 0.4519 - Test Accuracy: 0.7563
Epoch: 10/10 - 21/03/2021 16:30:37 - Training Loss: 0.5923 - Training Accuracy: 0.6157 - Test Loss: 0.4529 - Test Accuracy: 0.7879

21_03_2021_16_30_37 : Training L0 model - epochs 10 - lr 1e-05 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/10 - 21/03/2021 16:30:44 - Training Loss: 0.6790 - Training Accuracy: 0.3548 - Test Loss: 0.6650 - Test Accuracy: 0.3631
Epoch: 2/10 - 21/03/2021 16:30:51 - Training Loss: 0.6749 - Training Accuracy: 0.3495 - Test Loss: 0.6650 - Test Accuracy: 0.3638
Epoch: 3/10 - 21/03/2021 16:30:57 - Training Loss: 0.6724 - Training Accuracy: 0.3495 - Test Loss: 0.6624 - Test Accuracy: 0.3624
Epoch: 4/10 - 21/03/2021 16:31:05 - Training Loss: 0.6740 - Training Accuracy: 0.3445 - Test Loss: 0.6625 - Test Accuracy: 0.3627
Epoch: 5/10 - 21/03/2021 16:31:12 - Training Loss: 0.6742 - Training Accuracy: 0.3445 - Test Loss: 0.6598 - Test Accuracy: 0.3620
Epoch: 6/10 - 21/03/2021 16:31:19 - Training Loss: 0.6703 - Training Accuracy: 0.3470 - Test Loss: 0.6585 - Test Accuracy: 0.3627
Epoch: 7/10 - 21/03/2021 16:31:26 - Training Loss: 0.6700 - Training Accuracy: 0.3470 - Test Loss: 0.6572 - Test Accuracy: 0.3646
Epoch: 8/10 - 21/03/2021 16:31:33 - Training Loss: 0.6723 - Training Accuracy: 0.3445 - Test Loss: 0.6581 - Test Accuracy: 0.3631
Epoch: 9/10 - 21/03/2021 16:31:39 - Training Loss: 0.6723 - Training Accuracy: 0.3445 - Test Loss: 0.6580 - Test Accuracy: 0.3642
Epoch: 10/10 - 21/03/2021 16:31:46 - Training Loss: 0.6698 - Training Accuracy: 0.3495 - Test Loss: 0.6573 - Test Accuracy: 0.3650

21_03_2021_16_31_46 : Training L0 model - epochs 10 - lr 0.001 - scheduler_gamma 0.1 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/10 - 21/03/2021 16:31:53 - Training Loss: 0.6593 - Training Accuracy: 0.4433 - Test Loss: 0.5637 - Test Accuracy: 0.5182
Epoch: 2/10 - 21/03/2021 16:32:00 - Training Loss: 0.6143 - Training Accuracy: 0.5643 - Test Loss: 0.4058 - Test Accuracy: 0.8519
Epoch: 3/10 - 21/03/2021 16:32:06 - Training Loss: 0.5861 - Training Accuracy: 0.6364 - Test Loss: 0.3759 - Test Accuracy: 0.8560
Epoch: 4/10 - 21/03/2021 16:32:13 - Training Loss: 0.5700 - Training Accuracy: 0.6525 - Test Loss: 0.3622 - Test Accuracy: 0.8464
Epoch: 5/10 - 21/03/2021 16:32:19 - Training Loss: 0.5654 - Training Accuracy: 0.6761 - Test Loss: 0.3515 - Test Accuracy: 0.8683
Epoch: 6/10 - 21/03/2021 16:32:26 - Training Loss: 0.5380 - Training Accuracy: 0.6948 - Test Loss: 0.3475 - Test Accuracy: 0.8739
Epoch: 7/10 - 21/03/2021 16:32:32 - Training Loss: 0.5309 - Training Accuracy: 0.6996 - Test Loss: 0.3472 - Test Accuracy: 0.8757
Epoch: 8/10 - 21/03/2021 16:32:39 - Training Loss: 0.5356 - Training Accuracy: 0.6971 - Test Loss: 0.3497 - Test Accuracy: 0.8746
Epoch: 9/10 - 21/03/2021 16:32:45 - Training Loss: 0.5359 - Training Accuracy: 0.7073 - Test Loss: 0.3443 - Test Accuracy: 0.8865
Epoch: 10/10 - 21/03/2021 16:32:52 - Training Loss: 0.5378 - Training Accuracy: 0.7010 - Test Loss: 0.3487 - Test Accuracy: 0.8534

21_03_2021_16_32_52 : Training L0 model - epochs 10 - lr 0.0001 - scheduler_gamma 0.001 - weight_decay - 1e-05 - use_adam True 
Epoch: 1/10 - 21/03/2021 16:32:59 - Training Loss: 0.6720 - Training Accuracy: 0.3636 - Test Loss: 0.6383 - Test Accuracy: 0.3635
Epoch: 2/10 - 21/03/2021 16:33:06 - Training Loss: 0.6472 - Training Accuracy: 0.4156 - Test Loss: 0.5619 - Test Accuracy: 0.6827
Epoch: 3/10 - 21/03/2021 16:33:12 - Training Loss: 0.6185 - Training Accuracy: 0.5491 - Test Loss: 0.4823 - Test Accuracy: 0.6838
Epoch: 4/10 - 21/03/2021 16:33:19 - Training Loss: 0.5937 - Training Accuracy: 0.6093 - Test Loss: 0.4586 - Test Accuracy: 0.7887
Epoch: 5/10 - 21/03/2021 16:33:25 - Training Loss: 0.5854 - Training Accuracy: 0.6252 - Test Loss: 0.4415 - Test Accuracy: 0.8371
Epoch: 6/10 - 21/03/2021 16:33:32 - Training Loss: 0.5856 - Training Accuracy: 0.7042 - Test Loss: 0.4399 - Test Accuracy: 0.8378
Epoch: 7/10 - 21/03/2021 16:33:39 - Training Loss: 0.5821 - Training Accuracy: 0.7023 - Test Loss: 0.4400 - Test Accuracy: 0.8434
Epoch: 8/10 - 21/03/2021 16:33:45 - Training Loss: 0.5851 - Training Accuracy: 0.6937 - Test Loss: 0.4396 - Test Accuracy: 0.8382
Epoch: 9/10 - 21/03/2021 16:33:52 - Training Loss: 0.5824 - Training Accuracy: 0.6938 - Test Loss: 0.4387 - Test Accuracy: 0.8378
Epoch: 10/10 - 21/03/2021 16:33:58 - Training Loss: 0.5876 - Training Accuracy: 0.6839 - Test Loss: 0.4394 - Test Accuracy: 0.8304

